1603.51 -0.209  0.098
1775.71 -0.211  0.134
1776.14 -0.235  0.110
1776.92 -0.244  0.045
1776.92 -0.245  0.088
1776.92 -0.256  0.148
1818.30 -0.281  0.088
#1861.44 -0.391  0.063
1948.11 -0.272  0.084
#1948.11 -0.509  0.090
2211.29 -0.287  0.052
