18080.16 -0.451 0.016
17816.97 -0.455 0.042
17816.97 -0.461 0.024
17730.30 -0.495 0.032
17645.79 -0.492 0.059
17645.79 -0.465 0.076
17645.79 -0.482 0.029
#17687.16 -0.472 0.024
17645.01 -0.513 0.022
#17644.57 -0.517 0.065
17472.37 -0.495 0.057
