 6982.33 -0.853 0.018
 6704.74 -0.836 0.028
 6369.09 -0.855 0.017
 6045.40 -0.826 0.042
 5431.47 -0.827 0.026
 5431.47 -0.836 0.019
 4066.95 -0.769 0.015
 2902.85 -0.611 0.006
 1897.99 -0.441 0.005
 1713.66 -0.426 0.005
 1536.35 -0.358 0.005
 1536.35 -0.371 0.004
 1450.80 -0.353 0.004
 1368.90 -0.352 0.004
 1327.85 -0.319 0.005
 1287.09 -0.325 0.002
 1287.01 -0.333 0.004
 1195.89 -0.311 0.003
 1105.59 -0.28 0.003
 1105.58 -0.297 0.003
 1055.53 -0.28 0.004
 1005.95 -0.276 0.005
  957.42 -0.255 0.004
  908.94 -0.248 0.005
  804.90 -0.226 0.006
  702.45 -0.201 0.005
  625.07 -0.17 0.004
  586.64 -0.15 0.004
  574.63 -0.166 0.003
  564.03 -0.149 0.003
  559.34 -0.161 0.004
  548.96 -0.158 0.003
  548.96 -0.159 0.004
  539.74 -0.159 0.003
  539.82 -0.158 0.005
  522.87 -0.144 0.004
  522.80 -0.147 0.004
  496.46 -0.142 0.003
  443.35 -0.126 0.004
  417.34 -0.125 0.005
  391.15 -0.124 0.004
  391.00 -0.108 0.006
  391.08 -0.126 0.006
  384.60 -0.113 0.005
  379.77 -0.109 0.005
  358.60 -0.115 0.005
  339.41 -0.111 0.003
  307.29 -0.118 0.005
  280.82 -0.103 0.007
  269.19 -0.097 0.004
  251.70 -0.092 0.005
  241.55 -0.083 0.006
  238.36 -0.094 0.005
  233.59 -0.086 0.005
  231.35 -0.085 0.005
  231.35 -0.103 0.005
  214.90 -0.08 0.006
  198.85 -0.074 0.004
  198.85 -0.084 0.005
  183.03 -0.078 0.004
  174.11 -0.08 0.003
  168.06 -0.081 0.005
  163.68 -0.079 0.003
  162.28 -0.08 0.004
  162.28 -0.079 0.005
  160.80 -0.072 0.006
  159.31 -0.073 0.005
  132.96 -0.082 0.005
  107.86 -0.061 0.007
   79.66 -0.051 0.005
   51.17 -0.080 0.007 
